,title,artist
1,Kali Kali Zulfon Ke Phande Na Dalo | Tribute to Ustad Nusrat Fateh Ali Khan | Khalid Khan, COSMO SOCIAL
2,Darbari Mashup 3 | Chai Pani | S01 - Ep01 | Varga Core | Daastan 2019, Varga Core
3,ludovico einaudi - experience (slowed   reverb) (320  kbps), iana_staffik
4,Brahms' Lulla, - Orchestral Musicbox Lulla
5,"Minimal Piano No. 1, Venus", RAPHAEL NOVARINA
6,skeleton wlr, Syrus Inc
7,Experience, Ludovico Einaudi
8,i hear a symphony x pluto projector, Sangwoo is topping me rn
9,Mark Eliyahu - Journey, Safena
10,Clair de Lune - Debussy, Claude Debussy
11,pluto projector violin part slowed reverb - rex orange county.mp3, johnas sak
12,Experience, DeccaRecords
13,Solas - Jamie Duffy (Goodnight Piano), [⭐️]Vulture
14,je te laisserai des mots ( instrumental loop whistle ver), ari
15,Beethoven - Moonlight Sonata (Glenn playing on a Steinway D), Glenn Morrison
16,"Requiem in D minor, K. 626 Lacrimosa", Mozart
17,Antonio Vivaldi - Four Seasons - Winter - Allegro non molto, Tatiana Zoghi
18,Laurindo Almeida - The Lamp is Low(slowed), GRIMVILE
19,Chopin – Nocturne Op. 9 No. 2, reminiscience
20,「Hollow Purple / Gojo vs Toji」Jujutsu Kaisen S2 EP4 OST 呪術廻戦, PHAROZEN
21,"Minimalism No. 4, Lago di Lugano", RAPHAEL NOVARINA
22,"Minimalism No. 9, Notre envol", RAPHAEL NOVARINA
23,Kali Kali Zulfon (Lofi Version)DJ GLORY, ALI👻
24,"Minimalism No. 2, Valse contre la mort", RAPHAEL NOVARINA
25,ludovico einaudi - experience. ( sped up / nightcore & pitch up ), Sharu
26,Stuff we did (married life) slowed down, Fernando Emmanuel
27,Autumns Waltz, Shoshana Michel
28,OMORI - Final Duet, Zilezi
29,Lag ja gale, Rehan4
30,Dmitri Shostakovich - Waltz No. 2, Medhat Mahmoud
31,"Howls Moving Castle Theme (Originally from ""Howl's Moving Castle"") "," Anime Kei
"
32,"Minimalism No. 10, Notre Envol II", RAPHAEL NOVARINA
33,Gymnopédie No.1 - Satie, Erik Satie
34,Ludovico Einaudi - Una Mattina, FeelYourSoul
35,Diabolical Thoughts (Pitch Up), D O P P A
36,Moonlight Sonata, Classical Piano Hits
37,Swan Lake - Tchaikovsky, Kareem Ahmed
38,Touch, MATTIA CUPELLI
39,Fantaisie-Impromptu Op. 66 - Chopin, Phil Best
40,Symphony, Tokido Minata
41,"The Best Of Classical Music - Mozart, Beethoven, Bach, Chopin..", Kate Dion
42,ludovico einaudi - experience, Helen
43,"Howl's Moving Castle - Merry Go Round Of Life (TikTok piano cover, looped)", 939932
44,Diabolical Thoughts 🍷🗿, 𝑷𝒚𝒌 𝑺𝒑𝒂𝒄𝒆 ⸙
45,Umutsuz Aşk, Güldiyar Tanrıdağlı
46,"Relaxing Beautiful Romantic Music  Piano Music, Violin Music, Cello Music, Guitar Music ★74", ISABEL
47,Next Summer, Sam Feldt
48,"Minimalism No. 6, Le Cinquième Péché", RAPHAEL NOVARINA
49,Tchaikovsky - Andante from Symphony no. 5, Deryn Cullen - Cellist
50,Nilavinte Neelabhasma, Krish Ashok
