,title,artist
1,"What Was I Made For? [From The Motion Picture ""Barbie""]", Billie Eilish
2,"Eslabon Armado, Peso Pluma - Ella Baila Sola", Eslabon Armado
3,GHEA INDRAWARI - JIWA YANG BERSEDIH (POKERSAKTI ), Ananta Finansiya
4,Ivan Cornejo - Aquí Te Espero, Ivan Cornejo
5,"Peso Pluma, Jasiel Nuñez - LAGUNAS", Peso Pluma
6,Romantic Homicide, d4vd (@d4vddd)
7,Daylight, David Kushner
8,i know you - faye webster, sierra
9,Teya Dora - 2023 - Dzanum, BalkanMP3 Official
10,rises the moon, liana flores
11,Elley Duhe - Middle Of The Night, Oyeyeah
12,WASTE, KXLLSWXTCH
13,Post Malone - Chemical, Post Malone
14,David Kushner – Daylight, LOTUS MUSIC
15,3107 | id 072019 - W/n x 267, _Maidangiuuu_
16,"Peso Pluma, Gabito Ballesteros, Junior H - LADY GAGA", Peso Pluma
17,Adele - Adele - Set Fire To The Rain (Lyrics on Screen) (Original)(2).mp3, user637100941
18,I Wanna Be Yours, Silas
19,"Teya Dora - Džanum (speed up) ""moje more"" ( tiktok version)", adrenalinn music
20,The Perfect Girl, 𝙈𝘼𝙍𝙀𝙐𝙓
21,another love- tom odell (slowed+rain), ergi<3
22,What You Heard, Sonder
23,Don't You Worry Child - City Sessions feat. Citycreed, Citycreed
24,Here With Me, d4vd (@d4vddd)
25,Nanti Kita Seperti Ini, BATAS SENJA
26,vampire, Olivia Rodrigo
27,Not Allowed, TV Girl
28,Mansoob By Kaifi Khalil Official Music, RaNa ArXlan BabEr
29,Boy's a Liar Pt. 2, pinkpantheress
30,TV Girl - Blue Hair, meta
31,missin something, zach templar
32,Fifty Fifty - Cupid, 🌸
33,Tom Odell -- Another Love, Arbab Taimoor Khan Kasi
34,Adele - SKYFALL Official Lyrics Video, creationcookie
35,"Eden Muñoz, Junior H - Abcdario", TRAP x REGGAETON
36,Lana Del Rey - Diet Mountain Dew ''Devote to America'' <3, Soothing Space ϟ
37,Post Malone - Mourning, Post Malone
38,Cigarettes Out The Window, TV Girl
39,high enough (rac remix) drugged version, Sparrow
40,Ocean Eyes, Billie Eilish
41,Moonlight, XXXTENTACION
42,Cheques, AWARA
43,golden hour, JVKE 🌩
44,Pure Imagination ft. Fiona Apple (Kenny Gray Edit), kenny gray
45,LOVE IS GONE FT. DYLAN MATTHEW (ACOUSTIC), SLANDER
46,Still With You ," JK of BTS
"
47,Pink + White, blonded
48,Hozier - Take Me To Church, xmusicx
49,la scorsa estate, matiencito
50,Sparks - Coldplay, Mac Levine
